Name,Year of release,Rating,Genre,imdb Url,votes
Polar,(2019),6.3,"
Action, Crime            ",http://www.imdb.com/title/tt4139588/?ref_=adv_li_tt,"28,030"
The Punisher,(2017– ),8.6,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt5675620/?ref_=adv_li_tt,"132,557"
Game of Thrones,(2011– ),9.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt0944947/?ref_=adv_li_tt,"1,406,544"
Aquaman,(2018),7.4,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt1477834/?ref_=adv_li_tt,"157,477"
Vikings,(2013– ),8.6,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt2306299/?ref_=adv_li_tt,"323,777"
Fast & Furious Presents: Hobbs & Shaw,(2019),NA,"
Action, Adventure            ",http://www.imdb.com/title/tt6806448/?ref_=adv_li_tt,NA
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),(2020),NA,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt7713068/?ref_=adv_li_tt,NA
Titans,(I) (2018– ),8.2,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt1043813/?ref_=adv_li_tt,"27,508"
Alita: Battle Angel,(2019),7.8,"
Action, Adventure, Romance            ",http://www.imdb.com/title/tt0437086/?ref_=adv_li_tt,"1,027"
Kingdom,(2019– ),8.5,"
Action, Thriller            ",http://www.imdb.com/title/tt6611916/?ref_=adv_li_tt,"3,943"
Mortal Engines,(2018),6.3,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt1571234/?ref_=adv_li_tt,"32,672"
Avengers: Endgame,(2019),NA,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt4154796/?ref_=adv_li_tt,NA
Spider-Man: Into the Spider-Verse,(2018),8.7,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt4633694/?ref_=adv_li_tt,"91,886"
How to Train Your Dragon: The Hidden World,(2019),8.1,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt2386490/?ref_=adv_li_tt,"8,282"
Star Trek: Discovery,(2017– ),7.4,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt5171438/?ref_=adv_li_tt,"59,645"
Doragon bôru chô: Burorî,(2018),8.3,"
Animation, Action, Fantasy            ",http://www.imdb.com/title/tt7961060/?ref_=adv_li_tt,"10,257"
Gotham,(2014– ),7.9,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3749900/?ref_=adv_li_tt,"187,860"
Close,(I) (2019),5.6,"
Action, Thriller            ",http://www.imdb.com/title/tt5316540/?ref_=adv_li_tt,"8,222"
Kingdom Hearts III,(2019 Video Game),9.7,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt2973418/?ref_=adv_li_tt,433
The Passage,(2019– ),7.4,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt1074206/?ref_=adv_li_tt,"2,664"
The Flash,(2014– ),7.9,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt3107288/?ref_=adv_li_tt,"267,909"
Black Panther,(2018),7.4,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1825683/?ref_=adv_li_tt,"456,135"
Bumblebee,(2018),7.1,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt4701182/?ref_=adv_li_tt,"47,768"
Captain Marvel,(2019),NA,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt4154664/?ref_=adv_li_tt,NA
Avengers: Infinity War,(2018),8.5,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt4154756/?ref_=adv_li_tt,"580,382"
Solo: A Star Wars Story,(2018),7,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt3778644/?ref_=adv_li_tt,"201,406"
Arrow,(2012– ),7.7,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt2193021/?ref_=adv_li_tt,"372,386"
Hunter Killer,(2018),6.6,"
Action, Thriller            ",http://www.imdb.com/title/tt1846589/?ref_=adv_li_tt,"21,867"
The Girl in the Spider's Web,(2018),6.1,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt5177088/?ref_=adv_li_tt,"16,460"
Spider-Man: Far From Home,(2019),NA,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt6320628/?ref_=adv_li_tt,NA
The Lego Movie 2: The Second Part,(2019),7.5,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3513498/?ref_=adv_li_tt,70
The Boys,(2019– ),NA,"
Action, Drama, Sci-Fi            ",http://www.imdb.com/title/tt1190634/?ref_=adv_li_tt,NA
The Last Kingdom,(2015– ),8.3,"
Action, Drama, History            ",http://www.imdb.com/title/tt4179452/?ref_=adv_li_tt,"49,132"
Venom,(2018),6.8,"
Action, Sci-Fi            ",http://www.imdb.com/title/tt1270797/?ref_=adv_li_tt,"227,668"
Agents of S.H.I.E.L.D.,(2013– ),7.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt2364582/?ref_=adv_li_tt,"178,959"
The Umbrella Academy,(2019– ),NA,"
Action, Fantasy            ",http://www.imdb.com/title/tt1312171/?ref_=adv_li_tt,NA
Robin Hood,(I) (2018),5.3,"
Action, Adventure, Thriller            ",http://www.imdb.com/title/tt4532826/?ref_=adv_li_tt,"19,198"
Deadly Class,(2018– ),8.1,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt5924572/?ref_=adv_li_tt,"2,456"
Incredibles 2,(2018),7.8,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3606756/?ref_=adv_li_tt,"172,097"
Shazam!,(2019),NA,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0448115/?ref_=adv_li_tt,NA
Miss Bala,(2019),5,"
Action, Drama, Thriller            ",http://www.imdb.com/title/tt5941692/?ref_=adv_li_tt,750
Ready Player One,(2018),7.5,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt1677720/?ref_=adv_li_tt,"274,896"
Supergirl,(2015– ),6.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt4016454/?ref_=adv_li_tt,"92,857"
Zombieland: Double Tap,(2019),NA,"
Action, Comedy, Horror            ",http://www.imdb.com/title/tt1560220/?ref_=adv_li_tt,NA
Cold Pursuit,(2019),NA,"
Action, Drama, Thriller            ",http://www.imdb.com/title/tt5719748/?ref_=adv_li_tt,NA
NCIS: Naval Criminal Investigative Service,(2003– ),7.8,"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt0364845/?ref_=adv_li_tt,"104,774"
Daredevil,(2015–2018),8.7,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3322312/?ref_=adv_li_tt,"319,766"
Ant-Man and the Wasp,(2018),7.1,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt5095030/?ref_=adv_li_tt,"190,701"
Uri: The Surgical Strike,(2019),9.1,"
Action, Drama, War            ",http://www.imdb.com/title/tt8291224/?ref_=adv_li_tt,"17,031"
Ocean's Eight,(2018),6.2,"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt5164214/?ref_=adv_li_tt,"125,305"
Sex Education,(2019– ),8.5,"
Comedy, Drama            ",http://www.imdb.com/title/tt7767422/?ref_=adv_li_tt,"32,041"
Green Book,(2018),8.3,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt6966692/?ref_=adv_li_tt,"50,378"
The Favourite,(2018),7.9,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt5083738/?ref_=adv_li_tt,"42,829"
Once Upon a Time in Hollywood,(2019),NA,"
Comedy, Drama            ",http://www.imdb.com/title/tt7131622/?ref_=adv_li_tt,NA
The Orville,(2017– ),7.9,"
Adventure, Comedy, Drama            ",http://www.imdb.com/title/tt5691552/?ref_=adv_li_tt,"41,038"
Vice,(I) (2018),7.1,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt6266538/?ref_=adv_li_tt,"27,002"
Grace and Frankie,(2015– ),8.3,"
Comedy            ",http://www.imdb.com/title/tt3609352/?ref_=adv_li_tt,"26,737"
Spider-Man: Into the Spider-Verse,(2018),8.7,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt4633694/?ref_=adv_li_tt,"91,886"
Shameless,(2011– ),8.7,"
Comedy, Drama            ",http://www.imdb.com/title/tt1586680/?ref_=adv_li_tt,"164,152"
Russian Doll,(2019– ),8.1,"
Comedy, Drama, Mystery            ",http://www.imdb.com/title/tt7520794/?ref_=adv_li_tt,"6,887"
How to Train Your Dragon: The Hidden World,(2019),8.1,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt2386490/?ref_=adv_li_tt,"8,282"
Brooklyn Nine-Nine,(2013– ),8.4,"
Comedy, Crime            ",http://www.imdb.com/title/tt2467372/?ref_=adv_li_tt,"131,969"
The Big Bang Theory,(2007– ),8.2,"
Comedy, Romance            ",http://www.imdb.com/title/tt0898266/?ref_=adv_li_tt,"630,208"
The Office,(2005–2013),8.8,"
Comedy            ",http://www.imdb.com/title/tt0386676/?ref_=adv_li_tt,"281,475"
The Good Place,(2016– ),8.2,"
Comedy, Drama, Fantasy            ",http://www.imdb.com/title/tt4955642/?ref_=adv_li_tt,"52,386"
The Upside,(2017),6.3,"
Comedy, Drama            ",http://www.imdb.com/title/tt1987680/?ref_=adv_li_tt,"9,720"
Unbreakable Kimmy Schmidt,(2015–2019),7.7,"
Comedy, Drama            ",http://www.imdb.com/title/tt3339966/?ref_=adv_li_tt,"52,856"
Friends,(1994–2004),8.9,"
Comedy, Romance            ",http://www.imdb.com/title/tt0108778/?ref_=adv_li_tt,"645,623"
Suits,(2011– ),8.6,"
Comedy, Drama            ",http://www.imdb.com/title/tt1632701/?ref_=adv_li_tt,"317,894"
The Marvelous Mrs. Maisel,(2017– ),8.7,"
Comedy, Drama            ",http://www.imdb.com/title/tt5788792/?ref_=adv_li_tt,"37,833"
Tag,(I) (2018),6.6,"
Comedy            ",http://www.imdb.com/title/tt2854926/?ref_=adv_li_tt,"69,949"
Fighting with My Family,(2019),8.2,"
Biography, Comedy, Drama            ",http://www.imdb.com/title/tt6513120/?ref_=adv_li_tt,374
This Is Us,(2016– ),8.7,"
Comedy, Drama, Romance            ",http://www.imdb.com/title/tt5555260/?ref_=adv_li_tt,"71,159"
Can You Ever Forgive Me?,(2018),7.3,"
Biography, Comedy, Crime            ",http://www.imdb.com/title/tt4595882/?ref_=adv_li_tt,"8,077"
The Ballad of Buster Scruggs,(2018),7.3,"
Comedy, Drama, Musical            ",http://www.imdb.com/title/tt6412452/?ref_=adv_li_tt,"67,347"
Spider-Man: Far From Home,(2019),NA,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt6320628/?ref_=adv_li_tt,NA
Friends from College,(2017– ),6.8,"
Comedy, Drama            ",http://www.imdb.com/title/tt5565334/?ref_=adv_li_tt,"13,110"
The Lego Movie 2: The Second Part,(2019),7.5,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3513498/?ref_=adv_li_tt,70
Incredibles 2,(2018),7.8,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt3606756/?ref_=adv_li_tt,"172,097"
Mary Poppins Returns,(2018),7.2,"
Comedy, Family, Fantasy            ",http://www.imdb.com/title/tt5028340/?ref_=adv_li_tt,"32,101"
A Simple Favor,(2018),6.9,"
Comedy, Crime, Drama            ",http://www.imdb.com/title/tt7040874/?ref_=adv_li_tt,"65,826"
Modern Family,(2009– ),8.4,"
Comedy, Romance            ",http://www.imdb.com/title/tt1442437/?ref_=adv_li_tt,"305,551"
A Series of Unfortunate Events,(2017–2019),7.9,"
Adventure, Comedy, Drama            ",http://www.imdb.com/title/tt4834206/?ref_=adv_li_tt,"44,700"
Zombieland: Double Tap,(2019),NA,"
Action, Comedy, Horror            ",http://www.imdb.com/title/tt1560220/?ref_=adv_li_tt,NA
NCIS: Naval Criminal Investigative Service,(2003– ),7.8,"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt0364845/?ref_=adv_li_tt,"104,774"
Ant-Man and the Wasp,(2018),7.1,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt5095030/?ref_=adv_li_tt,"190,701"
Hotel Transylvania 3: Summer Vacation,(2018),6.3,"
Animation, Adventure, Comedy            ",http://www.imdb.com/title/tt5220122/?ref_=adv_li_tt,"35,688"
Ocean's Eight,(2018),6.2,"
Action, Comedy, Crime            ",http://www.imdb.com/title/tt5164214/?ref_=adv_li_tt,"125,305"
Future Man,(2017– ),7.9,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt4975856/?ref_=adv_li_tt,"13,442"
Deadpool 2,(2018),7.8,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt5463162/?ref_=adv_li_tt,"343,877"
Schitt's Creek,(2015– ),8.1,"
Comedy            ",http://www.imdb.com/title/tt3526078/?ref_=adv_li_tt,"14,569"
Crazy Rich Asians,(2018),7,"
Comedy, Romance            ",http://www.imdb.com/title/tt3104988/?ref_=adv_li_tt,"76,519"
How I Met Your Mother,(2005–2014),8.3,"
Comedy, Romance            ",http://www.imdb.com/title/tt0460649/?ref_=adv_li_tt,"527,228"
Aladdin,(2019),NA,"
Adventure, Comedy, Family            ",http://www.imdb.com/title/tt6139732/?ref_=adv_li_tt,NA
