,Name,Year of release,Rating,Genre,imdb Url,votes,MovieID,Adventure,Drama,Comedy,Animation,Sci-fi,Thriller,Action,Mystery
0,Polar,(2019),6.3,"
Action, Crime            ",http://www.imdb.com/title/tt4139588/?ref_=adv_li_tt,"28,030",1,0,0,0,0,0,0,1,0
1,The Punisher,(2017– ),8.6,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt5675620/?ref_=adv_li_tt,"132,557",2,1,0,0,0,0,0,1,0
2,Game of Thrones,(2011– ),9.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt0944947/?ref_=adv_li_tt,"1,406,544",3,1,1,0,0,0,0,1,0
3,Aquaman,(2018),7.4,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt1477834/?ref_=adv_li_tt,"157,477",4,1,0,0,0,0,0,1,0
4,Vikings,(2013– ),8.6,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt2306299/?ref_=adv_li_tt,"323,777",5,1,1,0,0,0,0,1,0
5,Fast & Furious Presents: Hobbs & Shaw,(2019),,"
Action, Adventure            ",http://www.imdb.com/title/tt6806448/?ref_=adv_li_tt,,6,1,0,0,0,0,0,1,0
6,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),(2020),,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt7713068/?ref_=adv_li_tt,,7,1,0,0,0,0,0,1,0
7,Titans,(I) (2018– ),8.2,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt1043813/?ref_=adv_li_tt,"27,508",8,1,1,0,0,0,0,1,0
8,Alita: Battle Angel,(2019),7.8,"
Action, Adventure, Romance            ",http://www.imdb.com/title/tt0437086/?ref_=adv_li_tt,"1,027",9,1,0,0,0,0,0,1,0
9,Kingdom,(2019– ),8.5,"
Action, Thriller            ",http://www.imdb.com/title/tt6611916/?ref_=adv_li_tt,"3,943",10,0,0,0,0,0,1,1,0
10,Mortal Engines,(2018),6.3,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt1571234/?ref_=adv_li_tt,"32,672",11,1,0,0,0,0,0,1,0
11,Avengers: Endgame,(2019),,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt4154796/?ref_=adv_li_tt,,12,1,0,0,0,0,0,1,0
12,Spider-Man: Into the Spider-Verse,(2018),8.7,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt4633694/?ref_=adv_li_tt,"91,886",13,1,0,0,1,0,0,1,0
13,How to Train Your Dragon: The Hidden World,(2019),8.1,"
Animation, Action, Adventure            ",http://www.imdb.com/title/tt2386490/?ref_=adv_li_tt,"8,282",14,1,0,0,1,0,0,1,0
14,Star Trek: Discovery,(2017– ),7.4,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt5171438/?ref_=adv_li_tt,"59,645",15,1,1,0,0,0,0,1,0
15,Doragon bôru chô: Burorî,(2018),8.3,"
Animation, Action, Fantasy            ",http://www.imdb.com/title/tt7961060/?ref_=adv_li_tt,"10,257",16,0,0,0,1,0,0,1,0
16,Gotham,(2014– ),7.9,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3749900/?ref_=adv_li_tt,"187,860",17,0,1,0,0,0,0,1,0
